,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
30,2019-8-26,1.0074958082651153,1.011246752853273,1.0133977408232504,1.0079153227406144,1.0085897672447297,1.0098011819865553,1.0036438841835724,1.0087897224183437,1.008692360995279,1.0039588044685543,1.0084602392738333,1.0050137631202967,1.005343356506492,1.007326846454255,1.0075973414178991,1.0089933256677757,1.010594952836103,1.0083996035865248,1.00485527544351,1.0070880124275885,1.0123735637827749,1.00871248745098,1.0062667860340202,1.0073905109489059,1.0130598676630602,1.006228373702422,1.0108892953440358,1.007957554828548,1.0097218223471975,1.0049721559208884,1.0062875125500301,1.0098452894707282,1.0078740131689363,1.0038734045193238,1.0084427770217304
31,2019-8-27,1.0077916954334751,1.011246752853273,1.0133066006202773,1.0080994047376584,1.008872947141376,1.0098945218051443,1.0037423675398853,1.0088863175701615,1.008692360995279,1.0040531857231798,1.0076142174314289,1.0049154544218195,1.005442307919212,1.0072329051693687,1.0075973414178991,1.008799921424563,1.010594952836103,1.0083102494529212,1.0049486461251158,1.0069895675381701,1.0120789551212803,1.00871248745098,1.0062667860340202,1.0075729927007306,1.0129679020036777,1.0060306475531389,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0048727126039811,1.0060969815813512,1.0098452894707282,1.0078740131689363,1.0038734045193238,1.0084427770217304
32,2019-8-28,1.0077916954334751,1.010958371845925,1.0133977408232504,1.0080994047376584,1.0087785517558086,1.0098011819865553,1.0038408508961982,1.0088863175701615,1.008692360995279,1.0040531857231798,1.0076142174314289,1.0050137631202969,1.005442307919212,1.0072329051693687,1.0075973414178991,1.0087032193029568,1.010594952836103,1.0083996035865248,1.0050420168067218,1.0068911226487518,1.01227536089561,1.00871248745098,1.0062667860340202,1.0074817518248183,1.0128759276927748,1.006228373702422,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0050715992377959,1.0061922470656905,1.0098452894707282,1.0078740131689363,1.0038734045193238,1.0084427770217304
33,2019-8-29,1.007890324489595,1.0111506258508236,1.0137623016351427,1.0079153227406144,1.0089673362668874,1.0096144876130622,1.003939334252511,1.0088863175701615,1.008597881982999,1.004147566977805,1.0084602392738333,1.0051120718187743,1.005442307919212,1.007326846454255,1.0075973414178991,1.0086065171813505,1.0097799523798652,1.0080421783013387,1.0052287581699337,1.0072849022064254,1.0120789551212803,1.00871248745098,1.0071620411817372,1.008120437956205,1.0128759276927748,1.0061295106277806,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0050715992377959,1.0057159196439929,1.0098452894707282,1.0078740131689363,1.0039678723216527,1.0084427770217304
34,2019-8-30,1.007988953545715,1.0112467528532731,1.0130331734620477,1.0078232861580114,1.0090617316524546,1.0096144876130622,1.003939334252511,1.0088863175701615,1.008597881982999,1.004147566977805,1.0076142174314289,1.0052103805172514,1.005442307919212,1.0071389638844825,1.0066476761760172,1.008413112938138,1.0097799523798652,1.007774098398984,1.0051353874883278,1.0072849022064254,1.012177158008445,1.0077444323001503,1.0062667860340202,1.0077554744525554,1.0132438076333452,1.0055363321799307,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0046738259701662,1.0050490612536165,1.0098452894707282,1.0078740131689363,1.0039678723216527,1.007504688264046
35,2019-8-31,1.0080875826018347,1.011390943356947,1.0129420332590746,1.0079153227406144,1.0094393038046403,1.0096144876130622,1.0040870592869802,1.0089829082689479,1.0086923645546146,1.0042891433188403,1.0076142174314289,1.0053086892157286,1.005541259331932,1.0071859345269256,1.0071225087969584,1.008413112938138,1.0097799523798652,1.007774098398984,1.0052287581699337,1.0073833470958438,1.0122262594520275,1.008228459875565,1.0067144136078785,1.0078010948905116,1.013335781944248,1.005437469105289,1.0099818505398301,1.0083996435446132,1.0097218223471975,1.0047235476286198,1.0050966939957864,1.0098452894707282,1.0078740131689363,1.0040623491089353,1.007504688264046
36,2019-9-2,1.0081862116579547,1.0115351338606207,1.0128508930561015,1.0080073681550554,1.009816875956826,1.0096144876130622,1.0042347843214492,1.0090794989677343,1.0087868471262302,1.0044307196598758,1.0076142174314289,1.0054069979142057,1.0057391621573721,1.0072329051693687,1.0075973414178994,1.008413112938138,1.0097799523798652,1.007774098398984,1.0053221288515397,1.007481791985262,1.01227536089561,1.00871248745098,1.007162041181737,1.0078467153284676,1.0134277562551508,1.0053386060306473,1.0099818505398301,1.0088417322606784,1.0097218223471975,1.0047732692870734,1.005144326737956,1.0098452894707282,1.0078740131689363,1.0041568258962177,1.007504688264046
37,2019-9-3,1.0082848407140745,1.0115351338606207,1.0130331734620477,1.0080994047376584,1.0095336960601797,1.0095211477944732,1.0042347843214492,1.0092726714592448,1.0087868471262302,1.0044307196598758,1.0076142174314289,1.0055053066126831,1.0057391621573721,1.007326846454255,1.0075973414178994,1.0085098150597442,1.0097799523798652,1.007774098398984,1.0053221288515397,1.007481791985262,1.0121771580084453,1.0077444323001503,1.00626678603402,1.00793795620438,1.0133357819442481,1.005437469105289,1.0099818505398301,1.0088417322606784,1.0097218223471975,1.004872712603981,1.0050490612536167,1.0098452894707282,1.0078740131689363,1.0042512936985466,1.007504688264046
38,2019-9-4,1.0084820988263143,1.0115351338606207,1.0137623016351427,1.0081914413202613,1.0095336960601797,1.0097078347998087,1.0044317510340748,1.0094658528568177,1.0089758122694614,1.0046194821691268,1.0084602392738333,1.0056036153111603,1.0057391621573721,1.0075147290240276,1.0075973414178994,1.0085098150597442,1.0097799523798652,1.0080421783013387,1.0054154995331457,1.0073833470958438,1.0118825493469508,1.00871248745098,1.00626678603402,1.0083029197080295,1.0137036618848188,1.0058329214038557,1.0099818505398301,1.007957554828548,1.0097218223471975,1.005171042554703,1.0056206541596535,1.0098452894707282,1.0078740131689363,1.0042512936985466,1.007504688264046
39,2019-9-5,1.0087779859946742,1.0118235148679684,1.01512942432767,1.0085595964825114,1.010100055853472,1.0102679031839727,1.0044317510340748,1.0099488108037808,1.0095427005804833,1.0047138723419469,1.009306261116238,1.0057019240096376,1.0059370649828123,1.0081723105667135,1.0075973414178994,1.0089933256677757,1.0114099457073424,1.008757037622483,1.0056022408963576,1.007678671958831,1.01247176666994,1.00871248745098,1.007162041181737,1.0088503649635039,1.0171985645778405,1.007019278299555,1.0108892953440358,1.0088417322606784,1.0106177554523368,1.005472349850243,1.0063827780343695,1.010548523230429,1.0088582654649445,1.0043457704858292,1.0084427770217306
40,2019-9-6,1.009369760331394,1.011923207385733,1.0153117047336162,1.0087436696477172,1.0105720202611972,1.0105479373760546,1.0045302343903875,1.0101419922013535,1.0098261518546663,1.0047138723419469,1.009306261116238,1.005800232708115,1.0061349678082525,1.008360193136486,1.0085470131540628,1.0091867299109882,1.0114099457073424,1.0088463917560866,1.0056022408963576,1.007875561737668,1.0127663753314349,1.00871248745098,1.007162041181737,1.0087591240875915,1.0176584188293138,1.00731586752348,1.0108892953440358,1.0097259026827046,1.0106177554523368,1.0057736571457827,1.0067638399717274,1.010548523230429,1.0088582654649445,1.0044402382881579,1.0093808585136048
41,2019-9-9,1.0098629056119937,1.0124216877134367,1.0154939851395623,1.009019788227364,1.0114215599511358,1.0106412771946438,1.0048256844593257,1.0106249412422543,1.0101095960101771,1.0049970161058228,1.0101522899085718,1.0060951588035467,1.0063328706336925,1.0086420169911448,1.0085470131540628,1.0095735383974132,1.0114099457073424,1.009114462907669,1.0058823529411756,1.0082693412953416,1.0132573897672592,1.0096805336953214,1.007162041181737,1.0093978102189787,1.0175664445184112,1.0075135936727633,1.0117967330971693,1.0097259026827046,1.0115136958481827,1.0059745386006254,1.0066685744873878,1.0112517626017687,1.0098425177609527,1.004818136452334,1.0093808585136048
